qualified_holding_reference,operator_title,as_of
PUGLIAOLIVE-HOLDING-0717,Agricultural holding 0717,2026-08-24
PUGLIAOLIVE-HOLDING-0718,Agricultural holding 0718,2026-08-24
PUGLIAOLIVE-HOLDING-0719,Agricultural holding 0719,2026-08-24
PUGLIAOLIVE-HOLDING-0720,Agricultural holding 0720,2026-08-24
PUGLIAOLIVE-HOLDING-0721,Agricultural holding 0721,2026-08-24
PUGLIAOLIVE-HOLDING-0722,Agricultural holding 0722,2026-08-24
PUGLIAOLIVE-HOLDING-0723,Agricultural holding 0723,2026-08-24
PUGLIAOLIVE-HOLDING-0724,Agricultural holding 0724,2026-08-24
PUGLIAOLIVE-HOLDING-0725,Agricultural holding 0725,2026-08-24
PUGLIAOLIVE-HOLDING-0726,Agricultural holding 0726,2026-08-24
PUGLIAOLIVE-HOLDING-0727,Agricultural holding 0727,2026-08-24
PUGLIAOLIVE-HOLDING-0728,Agricultural holding 0728,2026-08-24
PUGLIAOLIVE-HOLDING-0729,Agricultural holding 0729,2026-08-24
PUGLIAOLIVE-HOLDING-0730,Agricultural holding 0730,2026-08-24
PUGLIAOLIVE-HOLDING-0731,Agricultural holding 0731,2026-08-24
PUGLIAOLIVE-HOLDING-0732,Agricultural holding 0732,2026-08-24
PUGLIAOLIVE-HOLDING-0733,Agricultural holding 0733,2026-08-24
PUGLIAOLIVE-HOLDING-0734,Agricultural holding 0734,2026-08-24
PUGLIAOLIVE-HOLDING-0735,Agricultural holding 0735,2026-08-24
PUGLIAOLIVE-HOLDING-0736,Agricultural holding 0736,2026-08-24
PUGLIAOLIVE-HOLDING-0737,Agricultural holding 0737,2026-08-24
PUGLIAOLIVE-HOLDING-0738,Agricultural holding 0738,2026-08-24
PUGLIAOLIVE-HOLDING-0739,Agricultural holding 0739,2026-08-24
PUGLIAOLIVE-HOLDING-0740,Agricultural holding 0740,2026-08-24
PUGLIAOLIVE-HOLDING-0741,Agricultural holding 0741,2026-08-24
PUGLIAOLIVE-HOLDING-0742,Agricultural holding 0742,2026-08-24
PUGLIAOLIVE-HOLDING-0743,Agricultural holding 0743,2026-08-24
PUGLIAOLIVE-HOLDING-0744,Agricultural holding 0744,2026-08-24
PUGLIAOLIVE-HOLDING-0745,Agricultural holding 0745,2026-08-24
PUGLIAOLIVE-HOLDING-0746,Agricultural holding 0746,2026-08-24
PUGLIAOLIVE-HOLDING-0747,Agricultural holding 0747,2026-08-24
PUGLIAOLIVE-HOLDING-0748,Agricultural holding 0748,2026-08-24
PUGLIAOLIVE-HOLDING-0749,Agricultural holding 0749,2026-08-24
PUGLIAOLIVE-HOLDING-0750,Agricultural holding 0750,2026-08-24
PUGLIAOLIVE-HOLDING-0751,Agricultural holding 0751,2026-08-24
PUGLIAOLIVE-HOLDING-0752,Agricultural holding 0752,2026-08-24
PUGLIAOLIVE-HOLDING-0753,Agricultural holding 0753,2026-08-24
PUGLIAOLIVE-HOLDING-0754,Agricultural holding 0754,2026-08-24
PUGLIAOLIVE-HOLDING-0755,Agricultural holding 0755,2026-08-24
PUGLIAOLIVE-HOLDING-0756,Agricultural holding 0756,2026-08-24
PUGLIAOLIVE-HOLDING-0757,Agricultural holding 0757,2026-08-24
PUGLIAOLIVE-HOLDING-0758,Agricultural holding 0758,2026-08-24
PUGLIAOLIVE-HOLDING-0759,Agricultural holding 0759,2026-08-24
PUGLIAOLIVE-HOLDING-0760,Agricultural holding 0760,2026-08-24
PUGLIAOLIVE-HOLDING-0761,Agricultural holding 0761,2026-08-24
PUGLIAOLIVE-HOLDING-0762,Agricultural holding 0762,2026-08-24
PUGLIAOLIVE-HOLDING-0763,Agricultural holding 0763,2026-08-24
PUGLIAOLIVE-HOLDING-0764,Agricultural holding 0764,2026-08-24
PUGLIAOLIVE-HOLDING-0765,Agricultural holding 0765,2026-08-24
PUGLIAOLIVE-HOLDING-0766,Agricultural holding 0766,2026-08-24
PUGLIAOLIVE-HOLDING-0767,Agricultural holding 0767,2026-08-24
PUGLIAOLIVE-HOLDING-0768,Agricultural holding 0768,2026-08-24
PUGLIAOLIVE-HOLDING-0769,Agricultural holding 0769,2026-08-24
PUGLIAOLIVE-HOLDING-0770,Agricultural holding 0770,2026-08-24
PUGLIAOLIVE-HOLDING-0771,Agricultural holding 0771,2026-08-24
PUGLIAOLIVE-HOLDING-0772,Agricultural holding 0772,2026-08-24
PUGLIAOLIVE-HOLDING-0773,Agricultural holding 0773,2026-08-24
PUGLIAOLIVE-HOLDING-0774,Agricultural holding 0774,2026-08-24
PUGLIAOLIVE-HOLDING-0775,Agricultural holding 0775,2026-08-24
PUGLIAOLIVE-HOLDING-0776,Agricultural holding 0776,2026-08-24
PUGLIAOLIVE-HOLDING-0777,Agricultural holding 0777,2026-08-24
PUGLIAOLIVE-HOLDING-0778,Agricultural holding 0778,2026-08-24
PUGLIAOLIVE-HOLDING-0779,Agricultural holding 0779,2026-08-24
PUGLIAOLIVE-HOLDING-0780,Agricultural holding 0780,2026-08-24
PUGLIAOLIVE-HOLDING-0781,Agricultural holding 0781,2026-08-24
PUGLIAOLIVE-HOLDING-0782,Agricultural holding 0782,2026-08-24
PUGLIAOLIVE-HOLDING-0783,Agricultural holding 0783,2026-08-24
PUGLIAOLIVE-HOLDING-0784,Agricultural holding 0784,2026-08-24
PUGLIAOLIVE-HOLDING-0785,Agricultural holding 0785,2026-08-24
PUGLIAOLIVE-HOLDING-0786,Agricultural holding 0786,2026-08-24
PUGLIAOLIVE-HOLDING-0787,Agricultural holding 0787,2026-08-24
PUGLIAOLIVE-HOLDING-0788,Agricultural holding 0788,2026-08-24
PUGLIAOLIVE-HOLDING-0789,Agricultural holding 0789,2026-08-24
PUGLIAOLIVE-HOLDING-0790,Agricultural holding 0790,2026-08-24
PUGLIAOLIVE-HOLDING-0791,Agricultural holding 0791,2026-08-24
PUGLIAOLIVE-HOLDING-0792,Agricultural holding 0792,2026-08-24
PUGLIAOLIVE-HOLDING-0793,Agricultural holding 0793,2026-08-24
PUGLIAOLIVE-HOLDING-0794,Agricultural holding 0794,2026-08-24
PUGLIAOLIVE-HOLDING-0795,Agricultural holding 0795,2026-08-24
PUGLIAOLIVE-HOLDING-0796,Agricultural holding 0796,2026-08-24
PUGLIAOLIVE-HOLDING-0797,Agricultural holding 0797,2026-08-24
PUGLIAOLIVE-HOLDING-0798,Agricultural holding 0798,2026-08-24
PUGLIAOLIVE-HOLDING-0799,Agricultural holding 0799,2026-08-24
PUGLIAOLIVE-HOLDING-0800,Agricultural holding 0800,2026-08-24
PUGLIAOLIVE-HOLDING-0801,Agricultural holding 0801,2026-08-24
PUGLIAOLIVE-HOLDING-0802,Agricultural holding 0802,2026-08-24
PUGLIAOLIVE-HOLDING-0803,Agricultural holding 0803,2026-08-24
PUGLIAOLIVE-HOLDING-0804,Agricultural holding 0804,2026-08-24
PUGLIAOLIVE-HOLDING-0805,Agricultural holding 0805,2026-08-24
PUGLIAOLIVE-HOLDING-0806,Agricultural holding 0806,2026-08-24
PUGLIAOLIVE-HOLDING-0807,Agricultural holding 0807,2026-08-24
PUGLIAOLIVE-HOLDING-0808,Agricultural holding 0808,2026-08-24
PUGLIAOLIVE-HOLDING-0809,Agricultural holding 0809,2026-08-24
PUGLIAOLIVE-HOLDING-0810,Agricultural holding 0810,2026-08-24
PUGLIAOLIVE-HOLDING-0811,Agricultural holding 0811,2026-08-24
PUGLIAOLIVE-HOLDING-0812,Agricultural holding 0812,2026-08-24
PUGLIAOLIVE-HOLDING-0813,Agricultural holding 0813,2026-08-24
PUGLIAOLIVE-HOLDING-0814,Agricultural holding 0814,2026-08-24
PUGLIAOLIVE-HOLDING-0815,Agricultural holding 0815,2026-08-24
PUGLIAOLIVE-HOLDING-0816,Agricultural holding 0816,2026-08-24
PUGLIAOLIVE-HOLDING-0817,Agricultural holding 0817,2026-08-24
PUGLIAOLIVE-HOLDING-0818,Agricultural holding 0818,2026-08-24
PUGLIAOLIVE-HOLDING-0819,Agricultural holding 0819,2026-08-24
PUGLIAOLIVE-HOLDING-0820,Agricultural holding 0820,2026-08-24
PUGLIAOLIVE-HOLDING-0821,Agricultural holding 0821,2026-08-24
PUGLIAOLIVE-HOLDING-0822,Agricultural holding 0822,2026-08-24
PUGLIAOLIVE-HOLDING-0823,Agricultural holding 0823,2026-08-24
PUGLIAOLIVE-HOLDING-0824,Agricultural holding 0824,2026-08-24
PUGLIAOLIVE-HOLDING-0825,Agricultural holding 0825,2026-08-24
PUGLIAOLIVE-HOLDING-0826,Agricultural holding 0826,2026-08-24
PUGLIAOLIVE-HOLDING-0827,Agricultural holding 0827,2026-08-24
PUGLIAOLIVE-HOLDING-0828,Agricultural holding 0828,2026-08-24
PUGLIAOLIVE-HOLDING-0829,Agricultural holding 0829,2026-08-24
PUGLIAOLIVE-HOLDING-0830,Agricultural holding 0830,2026-08-24
PUGLIAOLIVE-HOLDING-0831,Agricultural holding 0831,2026-08-24
PUGLIAOLIVE-HOLDING-0832,Agricultural holding 0832,2026-08-24
PUGLIAOLIVE-HOLDING-0833,Agricultural holding 0833,2026-08-24
PUGLIAOLIVE-HOLDING-0834,Agricultural holding 0834,2026-08-24
PUGLIAOLIVE-HOLDING-0835,Agricultural holding 0835,2026-08-24
PUGLIAOLIVE-HOLDING-0836,Agricultural holding 0836,2026-08-24
PUGLIAOLIVE-HOLDING-0837,Agricultural holding 0837,2026-08-24
PUGLIAOLIVE-HOLDING-0838,Agricultural holding 0838,2026-08-24
PUGLIAOLIVE-HOLDING-0839,Agricultural holding 0839,2026-08-24
PUGLIAOLIVE-HOLDING-0840,Agricultural holding 0840,2026-08-24
PUGLIAOLIVE-HOLDING-0841,Agricultural holding 0841,2026-08-24
PUGLIAOLIVE-HOLDING-0842,Agricultural holding 0842,2026-08-24
PUGLIAOLIVE-HOLDING-0843,Agricultural holding 0843,2026-08-24
PUGLIAOLIVE-HOLDING-0844,Agricultural holding 0844,2026-08-24
PUGLIAOLIVE-HOLDING-0845,Agricultural holding 0845,2026-08-24
PUGLIAOLIVE-HOLDING-0846,Agricultural holding 0846,2026-08-24
PUGLIAOLIVE-HOLDING-0847,Agricultural holding 0847,2026-08-24
PUGLIAOLIVE-HOLDING-0848,Agricultural holding 0848,2026-08-24
PUGLIAOLIVE-HOLDING-0849,Agricultural holding 0849,2026-08-24
PUGLIAOLIVE-HOLDING-0850,Agricultural holding 0850,2026-08-24
PUGLIAOLIVE-HOLDING-0851,Agricultural holding 0851,2026-08-24
PUGLIAOLIVE-HOLDING-0852,Agricultural holding 0852,2026-08-24
PUGLIAOLIVE-HOLDING-0853,Agricultural holding 0853,2026-08-24
PUGLIAOLIVE-HOLDING-0854,Agricultural holding 0854,2026-08-24
PUGLIAOLIVE-HOLDING-0855,Agricultural holding 0855,2026-08-24
PUGLIAOLIVE-HOLDING-0856,Agricultural holding 0856,2026-08-24
PUGLIAOLIVE-HOLDING-0857,Agricultural holding 0857,2026-08-24
PUGLIAOLIVE-HOLDING-0858,Agricultural holding 0858,2026-08-24
PUGLIAOLIVE-HOLDING-0859,Agricultural holding 0859,2026-08-24
PUGLIAOLIVE-HOLDING-0860,Agricultural holding 0860,2026-08-24
PUGLIAOLIVE-HOLDING-0861,Agricultural holding 0861,2026-08-24
PUGLIAOLIVE-HOLDING-0862,Agricultural holding 0862,2026-08-24
PUGLIAOLIVE-HOLDING-0863,Agricultural holding 0863,2026-08-24
PUGLIAOLIVE-HOLDING-0864,Agricultural holding 0864,2026-08-24
PUGLIAOLIVE-HOLDING-0865,Agricultural holding 0865,2026-08-24
PUGLIAOLIVE-HOLDING-0866,Agricultural holding 0866,2026-08-24
PUGLIAOLIVE-HOLDING-0867,Agricultural holding 0867,2026-08-24
PUGLIAOLIVE-HOLDING-0868,Agricultural holding 0868,2026-08-24
PUGLIAOLIVE-HOLDING-0869,Agricultural holding 0869,2026-08-24
PUGLIAOLIVE-HOLDING-0870,Agricultural holding 0870,2026-08-24
PUGLIAOLIVE-HOLDING-0871,Agricultural holding 0871,2026-08-24
PUGLIAOLIVE-HOLDING-0872,Agricultural holding 0872,2026-08-24
PUGLIAOLIVE-HOLDING-0873,Agricultural holding 0873,2026-08-24
PUGLIAOLIVE-HOLDING-0874,Agricultural holding 0874,2026-08-24
PUGLIAOLIVE-HOLDING-0875,Agricultural holding 0875,2026-08-24
PUGLIAOLIVE-HOLDING-0876,Agricultural holding 0876,2026-08-24
PUGLIAOLIVE-HOLDING-0877,Agricultural holding 0877,2026-08-24
PUGLIAOLIVE-HOLDING-0878,Agricultural holding 0878,2026-08-24
PUGLIAOLIVE-HOLDING-0879,Agricultural holding 0879,2026-08-24
PUGLIAOLIVE-HOLDING-0880,Agricultural holding 0880,2026-08-24
PUGLIAOLIVE-HOLDING-0881,Agricultural holding 0881,2026-08-24
PUGLIAOLIVE-HOLDING-0882,Agricultural holding 0882,2026-08-24
PUGLIAOLIVE-HOLDING-0883,Agricultural holding 0883,2026-08-24
PUGLIAOLIVE-HOLDING-0884,Agricultural holding 0884,2026-08-24
PUGLIAOLIVE-HOLDING-0885,Agricultural holding 0885,2026-08-24
PUGLIAOLIVE-HOLDING-0886,Agricultural holding 0886,2026-08-24
PUGLIAOLIVE-HOLDING-0887,Agricultural holding 0887,2026-08-24
PUGLIAOLIVE-HOLDING-0888,Agricultural holding 0888,2026-08-24
PUGLIAOLIVE-HOLDING-0889,Agricultural holding 0889,2026-08-24
PUGLIAOLIVE-HOLDING-0890,Agricultural holding 0890,2026-08-24
PUGLIAOLIVE-HOLDING-0891,Agricultural holding 0891,2026-08-24
PUGLIAOLIVE-HOLDING-0892,Agricultural holding 0892,2026-08-24
PUGLIAOLIVE-HOLDING-0893,Agricultural holding 0893,2026-08-24
PUGLIAOLIVE-HOLDING-0894,Agricultural holding 0894,2026-08-24
PUGLIAOLIVE-HOLDING-0895,Agricultural holding 0895,2026-08-24
PUGLIAOLIVE-HOLDING-0896,Agricultural holding 0896,2026-08-24
PUGLIAOLIVE-HOLDING-0897,Agricultural holding 0897,2026-08-24
PUGLIAOLIVE-HOLDING-0898,Agricultural holding 0898,2026-08-24
PUGLIAOLIVE-HOLDING-0899,Agricultural holding 0899,2026-08-24
PUGLIAOLIVE-HOLDING-0900,Agricultural holding 0900,2026-08-24
